id;title;expression;hide;equals;greater_than;greater_than_or_equal;in_arr;less_than;less_than_or_equal;specified
1;white Brand Money Market Account;Salad Web virtual;true;RSS;mint green e-business EXE;back-end;granular Direct contextually-based;synergies copying;ability Hat Iraq;false
2;Bahamian Dollar;24/7;true;conglomeration;Oklahoma facilitate;Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;true
3;paradigms Home;Investor Public-key;false;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;false
4;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;true;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent;true
5;THX pink even-keeled;bus Internal AI;true;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;false
6;program alarm;Nevada;false;turn-key dedicated;Wisconsin;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate;false
7;Representative;Response Human;false;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;false
8;Open-architected;FTP;true;Belize Dollar Sudanese Pound real-time;protocol;open-source HDD;Sleek Beauty Auto Loan Account;deposit;extend Unbranded Fresh Pants Tools;true
9;interfaces;Garden Dale Wallis and Futuna;false;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;false
10;Analyst card Licensed Cotton Ball;mindshare Gorgeous;false;Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;false
